wavelength_A	flux_0Myr	flux_10Myr	flux_20Myr	flux_30Myr	flux_40Myr	flux_50Myr	flux_60Myr	flux_70Myr	flux_80Myr	flux_90Myr	flux_100Myr	flux_200Myr	flux_300Myr	flux_400Myr	flux_500Myr	flux_600Myr	flux_700Myr	flux_800Myr	flux_900Myr	flux_1000Myr
3026.0	1.2641574854360569e+42	4.4373037447350495e+41	2.262182230947925e+41	1.3484407031416626e+41	1.0673713137546794e+41	8.447931185632484e+40	6.747108468524283e+40	6.747108468524283e+40	5.370934309962048e+40	4.24282417052693e+40	4.24282417052693e+40	1.9468707415184632e+40	1.0349425800458848e+40	7.332384713136894e+39	5.347010126938776e+39	4.235767350680017e+39	4.235767350680017e+39	3.434941258494781e+39	2.6647065977206306e+39	2.6647065977206306e+39
3031.0	1.2621313655400785e+42	4.4319914143032796e+41	2.2588109731665608e+41	1.3448337602100159e+41	1.0642791140451908e+41	8.423151472776089e+40	6.728938653734885e+40	6.728938653734885e+40	5.357437325643069e+40	4.231642330121986e+40	4.231642330121986e+40	1.9429515762685973e+40	1.0371089957475707e+40	7.371008661363752e+39	5.391498713263798e+39	4.2746736998561297e+39	4.2746736998561297e+39	3.4738784207068916e+39	2.7154634841435622e+39	2.7154634841435622e+39
3036.0	1.2601173977818032e+42	4.410112571709203e+41	2.248955018905425e+41	1.3390598556574294e+41	1.0596968489796993e+41	8.38628231988332e+40	6.698593185862022e+40	6.698593185862022e+40	5.332385164091693e+40	4.2108486325865947e+40	4.2108486325865947e+40	1.93583765854638e+40	1.0345181456100722e+40	7.351330379944975e+39	5.37587585510647e+39	4.2636053232505615e+39	4.2636053232505615e+39	3.463310640608306e+39	2.7021536360089836e+39	2.7021536360089836e+39
3041.0	1.250450260926644e+42	4.368119865120739e+41	2.236599310729321e+41	1.3327284030642666e+41	1.054752058973059e+41	8.347250709361738e+40	6.666426701234904e+40	6.666426701234904e+40	5.304147480641573e+40	4.184522957005992e+40	4.184522957005992e+40	1.918944977553838e+40	1.0215086038263596e+40	7.236533701049055e+39	5.2673722919036035e+39	4.1650825336093215e+39	4.1650825336093215e+39	3.370422968627328e+39	2.6113435035885062e+39	2.6113435035885062e+39
3046.0	1.2515641375776865e+42	4.3710860177248495e+41	2.230868967548031e+41	1.3290578473315834e+41	1.0520772835377309e+41	8.329063616840748e+40	6.6548234964480875e+40	6.6548234964480875e+40	5.299774658891633e+40	4.1876647172211787e+40	4.1876647172211787e+40	1.9277064762052377e+40	1.0310028869939068e+40	7.328641473037595e+39	5.359897397475298e+39	4.251909397314324e+39	4.251909397314324e+39	3.449537262912643e+39	2.6795700693593814e+39	2.6795700693593814e+39
3051.0	1.2545871247434702e+42	4.360717341619547e+41	2.221937386279133e+41	1.3251536732582722e+41	1.0495874902705807e+41	8.313868470503948e+40	6.64568756719732e+40	6.64568756719732e+40	5.29640225579917e+40	4.1906077730579695e+40	4.1906077730579695e+40	1.9433224618893593e+40	1.0472424507174276e+40	7.470942273057989e+39	5.501466002236125e+39	4.388133846636851e+39	4.388133846636851e+39	3.586865389678412e+39	2.819244607106941e+39	2.819244607106941e+39
3056.0	1.2435718077208607e+42	4.3342344672853295e+41	2.2085211506733388e+41	1.3159632255280298e+41	1.041629223228167e+41	8.245249728643932e+40	6.587406460200865e+40	6.587406460200865e+40	5.246789628792079e+40	4.1480358001185997e+40	4.1480358001185997e+40	1.9073739820425305e+40	1.0161549534971744e+40	7.209927355533027e+39	5.2654640181486836e+39	4.174137806566526e+39	4.174137806566526e+39	3.386486827298307e+39	2.632976618875456e+39	2.632976618875456e+39
3061.0	1.2466032099354754e+42	4.315345309566616e+41	2.1991456374497904e+41	1.3108307513705628e+41	1.0379677026550982e+41	8.221059626209364e+40	6.571816279470001e+40	6.571816279470001e+40	5.236535478476979e+40	4.140582085173172e+40	4.140582085173172e+40	1.901358858639985e+40	1.0154786669268478e+40	7.226792125174044e+39	5.289648705449665e+39	4.1971734917472805e+39	4.1971734917472805e+39	3.404806962336452e+39	2.6475286053637197e+39	2.6475286053637197e+39
3066.0	1.2408090733031288e+42	4.2938219395193115e+41	2.189594622478205e+41	1.3054111226748116e+41	1.0339329825093462e+41	8.192958144695274e+40	6.552515243571468e+40	6.552515243571468e+40	5.222972642511999e+40	4.1311036027715357e+40	4.1311036027715357e+40	1.88967134483551e+40	1.0046926316492136e+40	7.142100511489042e+39	5.21865536433413e+39	4.134352988298708e+39	4.134352988298708e+39	3.3457472690653274e+39	2.5868843046762608e+39	2.5868843046762608e+39
3071.0	1.2451551249034517e+42	4.284621241531101e+41	2.1845924966209037e+41	1.3038989828321912e+41	1.0331691320041383e+41	8.189240760111647e+40	6.55075471511503e+40	6.55075471511503e+40	5.22375768398203e+40	4.1345475397399377e+40	4.1345475397399377e+40	1.9016644739597955e+40	1.0205898151527836e+40	7.291642690161448e+39	5.3643445769265425e+39	4.267459285083807e+39	4.267459285083807e+39	3.473283201435951e+39	2.7166444029158546e+39	2.7166444029158546e+39
