Age_Myr,EW_Hdelta_A,EW_Halpha_A,EW_OII_A,D4000
0,-63.72543263841544,-314.7461932745485,-868.8692410904881,0.4906134138925069
1,-63.72543263841544,-314.7461932745485,-868.8692410904881,0.4906134138925069
2,-58.29931110567993,-308.80328323739286,-797.0527620070133,0.6085943370380292
3,-35.76156669260999,-324.5419455958763,-404.25576537441015,0.6183121757705294
4,-21.20000892246846,-310.4172806359827,-233.26546872637203,0.6454297942816439
5,-10.074040964591468,-238.60269236957944,-128.41672848953888,0.792415180608086
6,-2.2607910847253105,-118.30849780215352,-65.16491555578638,0.9487636316625274
7,-2.2607910847253105,-118.30849780215352,-65.16491555578638,0.9487636316625274
8,0.7361043891300918,-59.638062308651904,-24.001676982608707,0.987542551798591
9,3.6741818805249107,-14.004697247743335,-3.4953505349378013,0.9553625655568633
10,3.6741818805249107,-14.004697247743335,-3.4953505349378013,0.9553625655568633
11,3.6741818805249107,-14.004697247743335,-3.4953505349378013,0.9553625655568633
21,5.859122745554554,2.417503681007869,0.38787099320645807,0.9666266963785549
31,6.907008496525706,2.6455369692885236,0.5050408410880611,0.9931752106690662
41,7.2398774503013845,2.7428125206884193,0.5449834502718711,1.0034358300290662
51,7.519668852543477,2.8363030828095623,0.5858815828465889,1.0128039758543257
61,7.770001991260085,2.920857696347099,0.6247386284583328,1.020260687626649
71,7.999461109801587,2.977631947428475,0.6481566684667925,1.031665622522416
81,7.999461109801587,2.977631947428475,0.6481566684667925,1.031665622522416
91,8.047173015728317,2.9793928130035274,0.644480013690921,1.0443088653856976
101,8.047173015728317,2.9793928130035274,0.644480013690921,1.0443088653856976
110,8.047173015728317,2.9793928130035274,0.644480013690921,1.0443088653856976
210,8.452285845648353,2.9582712264418882,0.7016900873787377,1.0841278903106444
310,9.155511420539968,2.964866317922607,0.7914916088165083,1.1442131150892652
410,9.330384134630199,2.9722741810031046,0.796592506281085,1.1774982082173402
510,8.93300928142798,2.8706689559321292,0.7766468938134716,1.2187612375988655
610,8.373183507519654,2.76199665750215,0.742022348230153,1.2537079898935186
710,7.499297727089775,2.616630974820113,0.7275802726398981,1.300788808747219
810,7.499297727089775,2.616630974820113,0.7275802726398981,1.300788808747219
910,5.897399300198109,2.389167260502785,0.7238665798576469,1.3452856259361001
1010,5.897399300198109,2.389167260502785,0.7238665798576469,1.3452856259361001
